component,explained_variance,cumulative_variance
PC91,4.25757868767423e-11,0.9999999996746689
PC92,3.882828326630131e-11,0.9999999997134972
PC93,2.740899290903515e-11,0.9999999997409061
PC94,2.643064792504404e-11,0.9999999997673368
PC95,2.4776891238229515e-11,0.9999999997921136
PC96,2.283140762612769e-11,0.999999999814945
PC97,2.060057053849349e-11,0.9999999998355455
PC98,1.8506945764787985e-11,0.9999999998540525
PC99,1.5129792382987664e-11,0.9999999998691823
PC100,1.3836707787191585e-11,0.999999999883019
PC101,1.2655470005522783e-11,0.9999999998956745
PC102,1.1253181144880886e-11,0.9999999999069277
PC103,9.610279370991349e-12,0.999999999916538
PC104,8.713834690733049e-12,0.9999999999252518
PC105,8.286261295368512e-12,0.999999999933538
PC106,6.93445529833203e-12,0.9999999999404725
PC107,6.349615977651259e-12,0.9999999999468221
PC108,6.232428774126393e-12,0.9999999999530546
PC109,5.306137763581291e-12,0.9999999999583606
PC110,4.509882806403065e-12,0.9999999999628705
PC111,4.233386246134455e-12,0.9999999999671039
PC112,3.5618970593849444e-12,0.9999999999706658
PC113,3.2432383991282204e-12,0.999999999973909
PC114,2.800191202217159e-12,0.9999999999767092
PC115,2.5996995355799054e-12,0.9999999999793089
PC116,2.3172502858494316e-12,0.9999999999816261
PC117,2.08114597109764e-12,0.9999999999837073
PC118,1.870777020510318e-12,0.999999999985578
PC119,1.5492416043633726e-12,0.9999999999871272
PC120,1.4013083654378429e-12,0.9999999999885285
PC121,1.2283478622599347e-12,0.9999999999897569
PC122,1.0982467117211828e-12,0.9999999999908551
PC123,9.113362907366353e-13,0.9999999999917665
PC124,8.418527795588186e-13,0.9999999999926084
PC125,7.840241626695789e-13,0.9999999999933924
PC126,7.379218759587461e-13,0.9999999999941304
PC127,6.507797651764942e-13,0.9999999999947812
PC128,5.563609314161443e-13,0.9999999999953375
PC129,4.875095554459072e-13,0.999999999995825
PC130,4.283153261914878e-13,0.9999999999962533
PC131,3.9201738863616805e-13,0.9999999999966454
PC132,3.761205260628294e-13,0.9999999999970215
PC133,3.1600093027502224e-13,0.9999999999973375
PC134,2.947794913742321e-13,0.9999999999976322
PC135,2.6755650092763507e-13,0.9999999999978998
PC136,2.364527084449779e-13,0.9999999999981363
PC137,2.0334324576764303e-13,0.9999999999983397
PC138,1.887799033868454e-13,0.9999999999985284
PC139,1.607826953190204e-13,0.9999999999986892
PC140,1.5584814826501793e-13,0.999999999998845
PC141,1.3202183965266919e-13,0.999999999998977
PC142,1.1671967664933856e-13,0.9999999999990937
PC143,1.0776902464223454e-13,0.9999999999992015
PC144,1.0570640818466124e-13,0.9999999999993072
PC145,7.567989746315146e-14,0.9999999999993829
PC146,6.555306854408621e-14,0.9999999999994484
PC147,5.994784484370487e-14,0.9999999999995084
PC148,5.678172171207666e-14,0.9999999999995651
PC149,5.237289042683372e-14,0.9999999999996175
PC150,4.883989766040499e-14,0.9999999999996664
PC151,3.891154344381364e-14,0.9999999999997052
PC152,3.774084607956482e-14,0.999999999999743
PC153,3.268238279146369e-14,0.9999999999997756
PC154,2.742517847698044e-14,0.999999999999803
PC155,2.489039469337866e-14,0.9999999999998279
PC156,2.197867105882849e-14,0.9999999999998499
PC157,2.0151906507183896e-14,0.9999999999998701
PC158,1.5629670520020515e-14,0.9999999999998858
PC159,1.4821755596016202e-14,0.9999999999999006
PC160,1.4616093619522308e-14,0.9999999999999153
PC161,1.3128166897648478e-14,0.9999999999999284
PC162,9.343681370575377e-15,0.9999999999999377
PC163,8.93999421972476e-15,0.9999999999999467
PC164,8.002998565891812e-15,0.9999999999999547
PC165,7.158401365579926e-15,0.9999999999999618
PC166,5.807393866983697e-15,0.9999999999999676
PC167,4.989162287176802e-15,0.9999999999999726
PC168,4.521168693664588e-15,0.9999999999999771
PC169,3.799155285437048e-15,0.9999999999999809
PC170,3.2925846643780336e-15,0.9999999999999842
PC171,2.8753294242366e-15,0.9999999999999871
PC172,2.0362755243509166e-15,0.9999999999999891
